Subtype,Gene,MeanAbsSHAP
Basal,THPO,0.0033226933517451268
Basal,PAPL,0.0031901307151605985
Basal,MSLN,0.0030935092512815268
Basal,KLHDC7A,0.0030383551756787914
Basal,GPR160,0.0029618680823154542
Basal,CD164L2,0.0028985161787507727
Basal,OCA2,0.0028730564407939913
Basal,ITGB8,0.0027902094586933243
Basal,MIA,0.0027819054979924354
Basal,KLK6,0.002709552628327098
Basal,ADAMTS15,0.00268252156141418
Basal,DOCK3,0.0026586653348456618
Basal,ABCA6,0.0026435914069967087
Basal,SOX6,0.0026343528686696674
Basal,PCDH8,0.0026267534286464273
Basal,CECR2,0.002576554572947821
Basal,ABCC11,0.0025744249721147603
Basal,SFN,0.0025615470196787746
Basal,CYP4F11,0.0025545228176168974
Basal,CCL28,0.0025535964822438473
Basal,AKR7L,0.0025160068969019753
Basal,TTC25,0.002490574869881357
Basal,FZD9,0.002489362919782757
Basal,CHRM3,0.00248638602685484
Basal,CEACAM5,0.0024707465327710545
Basal,S100A1,0.0024625800280091426
Basal,CORO6,0.0024607049631571146
Basal,HIST1H4H,0.0024603383995882824
Basal,TMEM45B,0.0024548873315476762
Basal,EMID2,0.0024525638006064948
Basal,CLEC4F,0.0024467103947295576
Basal,CHI3L2,0.002443251032768027
Basal,LOC145837,0.0024378843489153545
Basal,PGLYRP4,0.002431389554835227
Basal,RERGL,0.002431219215582006
Basal,ALDH3B2,0.0024095393905301738
Basal,KCNJ12,0.0024089720812222972
Basal,PROM1,0.002393890343708133
Basal,VGF,0.002386348693897212
Basal,MEX3A,0.002377756162041401
Basal,CA6,0.0023636103967671967
Basal,KCNJ13,0.0023435348040155507
Basal,TSPAN1,0.0023354083916792157
Basal,DLX6,0.0023201090105828825
Basal,FOXC1,0.0023144214220691436
Basal,FAR2,0.002309656157194695
Basal,PRSS21,0.0023085625656575656
Basal,HORMAD1,0.002303869413784317
Basal,CDC20,0.0023038146339836706
Basal,NCRNA00162,0.002302356411216048
