Subtype,Gene,MeanAbsSHAP
Her2,PNMT,0.004462105208858702
Her2,LCT,0.004154323303888911
Her2,ATP13A5,0.004098914022759143
Her2,GRB7,0.004091509078724205
Her2,PPM1J,0.00394383548657768
Her2,B4GALNT2,0.0038108420870316528
Her2,CNTD2,0.003791010942071201
Her2,SERHL2,0.0036985847039229863
Her2,TMEM45B,0.003695772737104777
Her2,ERBB2,0.003524164084160317
Her2,SERPINA3,0.003365156487834358
Her2,MAG,0.0033384847875608
Her2,GRB14,0.0032984343487214574
Her2,PMAIP1,0.0032813360114482115
Her2,RNF39,0.003220530834337549
Her2,NOS1AP,0.0032053969914329627
Her2,MAPT,0.0031788166570549947
Her2,PRICKLE4,0.0030959310977449503
Her2,SLC25A18,0.0030908247451167073
Her2,BNIPL,0.003047567019366445
Her2,ARTN,0.0030446766306795325
Her2,CENPV,0.0030311650076965987
Her2,PPP1R1B,0.003002978357560298
Her2,TCAP,0.003001191066965071
Her2,AADAC,0.0029630599557448375
Her2,CEACAM6,0.002931358540462744
Her2,NBPF6,0.0029239598535721395
Her2,CELSR1,0.0028893882674733756
Her2,EGR3,0.0028817284174983294
Her2,ABCC2,0.0028813564642481047
Her2,CHRM1,0.0028717143831171496
Her2,FOXD3,0.0028570415695917794
Her2,ESR1,0.002853004962564872
Her2,NXPH1,0.0028466260413198244
Her2,DISP2,0.002845952576965121
Her2,SYT1,0.0028372293644072974
Her2,SEMA6A,0.0028186465104782757
Her2,GFRA1,0.002779188933822575
Her2,ATP13A4,0.0027780715535862376
Her2,GREB1,0.0027778906119427424
Her2,FA2H,0.0027604819782204183
Her2,SDR42E1,0.002746122992953638
Her2,C9orf122,0.002743086378839305
Her2,RIMS4,0.00274306529872269
Her2,EPHA10,0.002739131467497676
Her2,SERPINA4,0.002730727791180875
Her2,C7orf51,0.0027224515659125042
Her2,LOC145820,0.002715567594552542
Her2,CXCL9,0.0026836546881049295
Her2,HOXD8,0.002677870965991739
