Subtype,Gene,MeanAbsSHAP
Basal,THPO,0.0033226933517451268
Basal,PAPL,0.0031901307151605985
Basal,MSLN,0.0030935092512815268
Basal,KLHDC7A,0.0030383551756787914
Basal,GPR160,0.0029618680823154542
Basal,CD164L2,0.0028985161787507727
Basal,OCA2,0.0028730564407939913
Basal,ITGB8,0.0027902094586933243
Basal,MIA,0.0027819054979924354
Basal,KLK6,0.002709552628327098
Basal,ADAMTS15,0.00268252156141418
Basal,DOCK3,0.0026586653348456618
Basal,ABCA6,0.0026435914069967087
Basal,SOX6,0.0026343528686696674
Basal,PCDH8,0.0026267534286464273
Basal,CECR2,0.002576554572947821
Basal,ABCC11,0.0025744249721147603
Basal,SFN,0.0025615470196787746
Basal,CYP4F11,0.0025545228176168974
Basal,CCL28,0.0025535964822438473
Basal,AKR7L,0.0025160068969019753
Basal,TTC25,0.002490574869881357
Basal,FZD9,0.002489362919782757
Basal,CHRM3,0.00248638602685484
Basal,CEACAM5,0.0024707465327710545
Basal,S100A1,0.0024625800280091426
Basal,CORO6,0.0024607049631571146
Basal,HIST1H4H,0.0024603383995882824
Basal,TMEM45B,0.0024548873315476762
Basal,EMID2,0.0024525638006064948
Basal,CLEC4F,0.0024467103947295576
Basal,CHI3L2,0.002443251032768027
Basal,LOC145837,0.0024378843489153545
Basal,PGLYRP4,0.002431389554835227
Basal,RERGL,0.002431219215582006
Basal,ALDH3B2,0.0024095393905301738
Basal,KCNJ12,0.0024089720812222972
Basal,PROM1,0.002393890343708133
Basal,VGF,0.002386348693897212
Basal,MEX3A,0.002377756162041401
Basal,CA6,0.0023636103967671967
Basal,KCNJ13,0.0023435348040155507
Basal,TSPAN1,0.0023354083916792157
Basal,DLX6,0.0023201090105828825
Basal,FOXC1,0.0023144214220691436
Basal,FAR2,0.002309656157194695
Basal,PRSS21,0.0023085625656575656
Basal,HORMAD1,0.002303869413784317
Basal,CDC20,0.0023038146339836706
Basal,NCRNA00162,0.002302356411216048
Her2,PNMT,0.004462105208858702
Her2,LCT,0.004154323303888911
Her2,ATP13A5,0.004098914022759143
Her2,GRB7,0.004091509078724205
Her2,PPM1J,0.00394383548657768
Her2,B4GALNT2,0.0038108420870316528
Her2,CNTD2,0.003791010942071201
Her2,SERHL2,0.0036985847039229863
Her2,TMEM45B,0.003695772737104777
Her2,ERBB2,0.003524164084160317
Her2,SERPINA3,0.003365156487834358
Her2,MAG,0.0033384847875608
Her2,GRB14,0.0032984343487214574
Her2,PMAIP1,0.0032813360114482115
Her2,RNF39,0.003220530834337549
Her2,NOS1AP,0.0032053969914329627
Her2,MAPT,0.0031788166570549947
Her2,PRICKLE4,0.0030959310977449503
Her2,SLC25A18,0.0030908247451167073
Her2,BNIPL,0.003047567019366445
Her2,ARTN,0.0030446766306795325
Her2,CENPV,0.0030311650076965987
Her2,PPP1R1B,0.003002978357560298
Her2,TCAP,0.003001191066965071
Her2,AADAC,0.0029630599557448375
Her2,CEACAM6,0.002931358540462744
Her2,NBPF6,0.0029239598535721395
Her2,CELSR1,0.0028893882674733756
Her2,EGR3,0.0028817284174983294
Her2,ABCC2,0.0028813564642481047
Her2,CHRM1,0.0028717143831171496
Her2,FOXD3,0.0028570415695917794
Her2,ESR1,0.002853004962564872
Her2,NXPH1,0.0028466260413198244
Her2,DISP2,0.002845952576965121
Her2,SYT1,0.0028372293644072974
Her2,SEMA6A,0.0028186465104782757
Her2,GFRA1,0.002779188933822575
Her2,ATP13A4,0.0027780715535862376
Her2,GREB1,0.0027778906119427424
Her2,FA2H,0.0027604819782204183
Her2,SDR42E1,0.002746122992953638
Her2,C9orf122,0.002743086378839305
Her2,RIMS4,0.00274306529872269
Her2,EPHA10,0.002739131467497676
Her2,SERPINA4,0.002730727791180875
Her2,C7orf51,0.0027224515659125042
Her2,LOC145820,0.002715567594552542
Her2,CXCL9,0.0026836546881049295
Her2,HOXD8,0.002677870965991739
LumA,ITGA2B,0.0035835337727879355
LumA,TMEM26,0.0034274957271552215
LumA,MRPS30,0.0033102542700033963
LumA,PPM1J,0.0032585071237715762
LumA,CCNA2,0.0032569474024563127
LumA,IGFALS,0.0032437328960920947
LumA,C20orf103,0.00312474525758767
LumA,CHRNA6,0.003007718554663875
LumA,GJB2,0.0029540781528743943
LumA,RHBDL1,0.002941403086765604
LumA,ZNF552,0.0028723473783934927
LumA,C1orf173,0.0028693664994029356
LumA,GJA3,0.0028599355197671786
LumA,AURKB,0.0028355771639022955
LumA,FGF18,0.002798886528378514
LumA,METTL7B,0.0027953353121385285
LumA,SOX11,0.0027850856825655987
LumA,PHYHD1,0.0027551750040212633
LumA,SLC24A2,0.002732217362235032
LumA,HMGA2,0.0027280792102146734
LumA,DTNA,0.00272713434274468
LumA,LOC100128977,0.002712018651348242
LumA,TMEM150B,0.0027119849398455167
LumA,SERPINE1,0.0027115817357399566
LumA,CRIP1,0.0026777787050428336
LumA,GRB7,0.002656459916187891
LumA,CENPW,0.002646288523439782
LumA,HAGHL,0.002640077079092862
LumA,SMC1B,0.002639829026577445
LumA,ARTN,0.002637124420882881
LumA,CCDC78,0.0026324223329310887
LumA,FAM54A,0.002631003830614197
LumA,GAS2L3,0.0026215669448927453
LumA,OR2A4,0.002619359522138135
LumA,CELSR1,0.0026117296646425026
LumA,KIF26B,0.0026113271282434247
LumA,CDC6,0.0026059685328776697
LumA,KLHL35,0.002604262917429878
LumA,PROC,0.0025588127190935162
LumA,SNTN,0.0025586228466952183
LumA,FAM176B,0.002536971698383973
LumA,C11orf9,0.0025155307722033943
LumA,SLC7A4,0.0025079180538354093
LumA,TBX3,0.002505275808990367
LumA,EPHB1,0.002501578507008162
LumA,PCDHGC4,0.0024793435723798516
LumA,MUSTN1,0.0024779026999668633
LumA,FZD8,0.002476937331601271
LumA,AQP6,0.0024683231765973484
LumA,MUC6,0.002463713561875617
LumB,DPY19L2P2,0.004639125628753188
LumB,KCNH1,0.004525583461751618
LumB,UHRF1,0.0043875549839387734
LumB,ITGA2B,0.004366988907602515
LumB,WLS,0.004310810788979325
LumB,KRT6B,0.00428467891675963
LumB,NBPF6,0.004219196219107996
LumB,SLPI,0.004151291226510996
LumB,LOC100126784,0.004114789719889384
LumB,STAC2,0.004114197618106472
LumB,BEND5,0.004043363244414245
LumB,MRAP2,0.004039743800363895
LumB,VTCN1,0.003973566297418074
LumB,MMP25,0.003954618249786613
LumB,ITGAD,0.0039098666609081395
LumB,PFKFB1,0.0039095647586893595
LumB,SOSTDC1,0.0038715496506382704
LumB,PLEKHN1,0.0038229961670468685
LumB,FOXC1,0.00382132194620984
LumB,C1orf116,0.003817079166639006
LumB,SMO,0.00380096497047412
LumB,MEPE,0.0037882407478820016
LumB,FAM83D,0.003782677684385918
LumB,IL1RL2,0.003766976671095613
LumB,GRHL3,0.003731135451737878
LumB,PPP1R1B,0.0036978609187422583
LumB,MYBL1,0.0036749509727592843
LumB,NEIL3,0.003637639179651665
LumB,GAS2L3,0.003615198158570365
LumB,SERPINA5,0.0036023224845393997
LumB,CLCA4,0.003600648618885316
LumB,NBPF4,0.003599842319391971
LumB,POLQ,0.0035817000829815194
LumB,FAM54A,0.0035685738093464733
LumB,CST9L,0.0035670842300482442
LumB,PRPH,0.0035634401248785252
LumB,PPP1R14C,0.0035590618252727938
LumB,RASSF10,0.0035490144467379046
LumB,CENPE,0.003548777910298087
LumB,FANCA,0.0035426659194652326
LumB,NPAS2,0.0035414027898670814
LumB,BUB1,0.0035186475239344065
LumB,GRB14,0.0035160659997725613
LumB,BBOX1,0.003504679730061374
LumB,KIAA1257,0.00350101976721362
LumB,S100A2,0.003481055490643333
LumB,NFKBIZ,0.0034708755666138635
LumB,ANXA8,0.0034248204538521853
LumB,P2RY11,0.003424708024859847
LumB,IGF2BP1,0.003419013175289365
Normal,SLCO1A2,0.0035663348174289743
Normal,COL10A1,0.003140032319568794
Normal,DLK2,0.003097795317141087
Normal,ASPM,0.0030833943096261075
Normal,LRRC3B,0.003039120596251147
Normal,GSTA1,0.0029678059534161447
Normal,LOC100133545,0.0029250157946939404
Normal,HTR2A,0.0029078646494945636
Normal,PI3,0.00286043261667146
Normal,AFP,0.0028431338710611775
Normal,SLPI,0.0028372865280061887
Normal,BUB1B,0.002811868801472883
Normal,CLSPN,0.002805714049979239
Normal,HOXD10,0.0027204774485419924
Normal,AKR1B15,0.002674103159910778
Normal,KIF4A,0.002659360454168159
Normal,RYR3,0.002619421884503481
Normal,SLC16A11,0.002615191076680882
Normal,NBPF4,0.002608471287333695
Normal,LY75,0.0025929665450677123
Normal,UBE2C,0.002524319670094144
Normal,PTN,0.002497049042984953
Normal,PADI2,0.002491584768929695
Normal,TMEM215,0.002488293103359259
Normal,HAS3,0.0024797604906754917
Normal,CCNB2,0.0024786095042183356
Normal,DEFB1,0.002472675627261525
Normal,IRX6,0.0024639198738832923
Normal,TPX2,0.002455480932793661
Normal,TGM1,0.002437041045267405
Normal,GRIA4,0.00243656757699758
Normal,LOC100127888,0.0024211916235243633
Normal,CILP2,0.0024145514107279573
Normal,C14orf39,0.0024135765593453267
Normal,CD164L2,0.0024106345924034636
Normal,ATF3,0.002401966588877258
Normal,AMZ1,0.0023889022523854286
Normal,CDCA5,0.002377351015057785
Normal,ZNF552,0.0023753036388395937
Normal,PLA2G5,0.0023748812916942873
Normal,CXCL2,0.0023727122438180637
Normal,CELF5,0.0023674222376131285
Normal,TRIM29,0.0023647744096959083
Normal,NOX4,0.0023624804761147467
Normal,C11orf92,0.0023556036785900383
Normal,IQGAP3,0.00234746084767797
Normal,HSPB6,0.002343849515530868
Normal,C8orf48,0.002334908289536012
Normal,CX3CL1,0.002334560842882638
Normal,ABCB5,0.0023342884884982595
