Gene,MeanAbsSHAP
ITGA2B,0.0023145647396511826
CHRM1,0.002248678446859584
PADI2,0.0022408677560103265
KCNH1,0.002209206672073568
FOXC1,0.002205953374857788
NBPF6,0.0021883634315562023
MAG,0.002131848773249582
MYBL1,0.002122142821157051
ITGB8,0.002106700103570663
CELSR1,0.002097605763807151
DPY19L2P2,0.002088483422288413
FAM54A,0.0020812266574806652
CD164L2,0.0020797359762190757
GREB1,0.002038806338849181
ESR1,0.002025329502446185
PNMT,0.0020222864365965483
ATP13A5,0.0019997569803362264
RNF39,0.001997077734852976
PFKFB1,0.0019920123098049517
NBPF4,0.0019835782601823047
SLPI,0.0019833517012320576
PPM1J,0.001972353879396533
CNTD2,0.001971950858524628
GRHL3,0.0019649052611795366
SERPINA3,0.0019442919633785552
C6orf211,0.0019322131744634893
LOC100126784,0.0019148382501656316
RIMS4,0.001905730632559097
GPR156,0.0018905300041600034
FANCA,0.00187621908024956
SERPINA4,0.001873631144237543
POLQ,0.001861677881741899
NPAS2,0.001861637946631668
C1orf116,0.0018597812276749121
PMAIP1,0.0018581721836295312
TMEM45B,0.0018461297727068566
PI3,0.0018387169614490161
GRB7,0.0018355193178894386
GRB14,0.0018303069489618512
ZNF552,0.0018159785593139886
ADM,0.001805292885693335
UHRF1,0.0018033019426616824
KIF14,0.0017997289694969413
PTN,0.0017863061571243104
FAM72D,0.0017818005498592508
BEND5,0.0017805284802999328
MIA,0.0017805183680850056
PPP1R1B,0.0017794622062871845
GLYATL2,0.0017750336120807909
CENPI,0.0017744281698911142
SYT1,0.001773057752609475
CDC45,0.0017728399154666224
PLA2G10,0.0017626088960478606
IQGAP3,0.0017536601450825313
MRAP2,0.0017522526908644901
ASPM,0.001751576340063347
CYP2B7P1,0.001735181661053452
AURKB,0.0017349991494370442
BARX2,0.0017284514189798174
FAM176B,0.001724449710102818
ARTN,0.0017236006794165112
AMZ1,0.0017190541021376601
CSF3R,0.0017128857630091766
SERHL2,0.0017116242405849154
ABCC13,0.001707952244365174
KIF18B,0.001706168953941124
GPR77,0.001705677118205055
WLS,0.0017017390651678473
KRT6B,0.0016965190625256809
PPP1R14C,0.0016948608550071656
SOX6,0.0016946230347135345
DSG3,0.0016922462500057614
CNTN3,0.001691464897105119
FZD8,0.0016869557613391508
MRPS30,0.0016856680537102875
UBE2C,0.0016839216776874525
CCNB2,0.0016818381590124115
KIF4A,0.0016808504967738397
CENPA,0.0016802758112589799
C15orf42,0.0016774678976647786
ZP1,0.0016754905950348428
NAV2,0.0016722082320683284
SERPINA5,0.0016687676718700256
E2F8,0.0016683574079384182
PDZK1,0.0016680890931986092
FAM184B,0.0016649575650430077
LCT,0.0016593672485998448
CENPE,0.001658894750073456
MEPE,0.0016583972423737474
C1orf173,0.001657470039293053
NEIL3,0.0016555114443268812
B4GALNT2,0.0016531471377748414
CCNA2,0.0016499018294919348
CENPF,0.0016490945721495602
TRIM29,0.0016488891870260936
TBX3,0.0016472677178937386
TACR1,0.0016464818277649822
STAC2,0.0016460790058351548
FAM83D,0.0016460217096492455
MMP25,0.0016415546366848352
SGOL1,0.0016407696945525648
ASPA,0.0016400666607511185
CH25H,0.0016399092942468959
NCALD,0.001634350631631302
TCAP,0.0016304915386070888
FOXD3,0.0016255298645404537
MAP2,0.0016245523634525385
CEACAM6,0.0016229901743604576
ADAMTS5,0.0016226592153605187
HOXD8,0.0016151035240905603
TGM5,0.0016127762321218597
MAPT,0.0016075285071745703
OR2A4,0.001606729970473945
CST9L,0.0016066507087408076
CDC6,0.0016038638830306378
TMEM215,0.0016036236915523557
CECR2,0.0016023859489109782
AADAC,0.0016015435924459284
TPX2,0.001599789770028871
KIF15,0.0015993519122940508
FGFR4,0.0015977707072560557
ERBB2,0.0015971618909569921
BUB1,0.0015965176018435537
DOCK3,0.0015955720083784147
FAM72B,0.001594524385211571
SOSTDC1,0.0015931706703421848
SEMA6A,0.0015919536387836311
SULT1E1,0.0015919098043890281
EGFR,0.0015918535426959262
CRYAB,0.0015899996755693892
CYP2B6,0.0015899022423740109
C20orf103,0.0015892654181410787
BRIP1,0.0015877757779245863
S100A2,0.001587767194921715
IRX2,0.0015859269006953348
KRT16,0.0015857131199440901
BBOX1,0.0015843635571409702
FAM196A,0.0015843090840292006
ANXA9,0.001583211343922702
PRICKLE4,0.0015831718928753149
FGFBP1,0.0015822309087609831
MUC5B,0.0015805100060630886
TPPP,0.001579113194819115
ITGAD,0.0015774796333832262
CENPV,0.0015772061055047161
S100A1,0.0015760110384043851
SDR42E1,0.0015753422601670131
RNF128,0.0015734553542616127
IRX4,0.0015732161717177777
LRRC3B,0.001569846634954233
CLCA4,0.0015683640121068264
DIAPH3,0.001567391872675038
DEFB1,0.0015628594048754014
ARSH,0.0015623231136040595
THPO,0.0015611951946270766
ORC6L,0.0015609652860447119
SPP1,0.0015605842664138927
ABCC6,0.0015601923328257704
KCNMB1,0.0015599954893584962
KIF2C,0.0015587380093342695
COBL,0.001557807756474815
VTCN1,0.001556259514824079
C2orf54,0.0015561936070518615
