Gene,Variance
CPB1,25.185410924288423
CLEC3A,24.93773822951185
SCGB2A2,23.871531769668092
SCGB1D2,18.942426293474632
TFF1,18.91219033557924
GSTM1,18.519196263832466
PIP,17.283998294498186
MUCL1,17.14352539511988
S100A7,16.424811014951253
CYP2B7P1,16.222526450868397
ANKRD30A,15.952640491446685
PRAME,15.802926771234485
HMGCS2,15.606537345018078
AGR3,15.474846887578705
CYP4Z1,15.345414721480074
KCNJ3,15.3069147066524
TFAP2B,15.151284510566573
SERPINA6,15.142455919953331
MUC6,14.956448565229099
DHRS2,14.537656311414935
ADIPOQ,14.497100850018455
ADH1B,14.358089702597137
TAT,14.213266927654182
SLC30A8,14.198741832060744
C4orf7,14.087321793052613
COL2A1,13.944413406386678
UGT2B11,13.87310166813046
VSTM2A,13.745744318120318
KRT14,13.46891799613586
MYBPC1,13.423456032676844
GABRP,13.368591702917241
CALML5,13.19511742822012
SOX10,13.010002543348385
GSTT1,12.985133508419715
GP2,12.977607879943347
CEACAM5,12.934213474286867
KRT5,12.87795797336065
TFF3,12.646451480871557
C1orf64,12.64357097665926
MUC5B,12.605469549019732
STAC2,12.602878241283763
CRABP1,12.470575528629082
GRIA2,12.4440139955182
KRT6B,12.262744684954955
CST9,12.230080058437231
LTF,12.122174389272088
SYT13,12.061013146342061
BMPR1B,11.952498742219506
FABP7,11.886172713923052
KLK11,11.879058822346748
HOXB13,11.832198674424953
CRISP3,11.56929985208556
CYP2A6,11.517034272731465
CEACAM6,11.506300545430737
ABCC11,11.492958515674998
NPY1R,11.444683067328741
TCN1,11.3896557746933
CLCA2,11.34820808914602
C20orf114,11.335919769395275
GFRA1,11.303523668712035
AGR2,11.27277377836686
SLC34A2,11.223424074339462
KLK5,11.217775343830816
OLFM4,11.216775745099206
CGA,11.194101544875792
KIF1A,11.172860344381807
PVALB,11.148588304020874
LRP2,11.112471733835045
PGR,11.028953135734435
CP,10.973311065160809
OBP2B,10.960848617137879
PROM1,10.908479119264557
PIGR,10.838678284565821
KCNC2,10.820777590883768
DSG3,10.806423316833657
KRT6A,10.803343493349885
MUC16,10.745822052601502
TUSC5,10.729426614267908
CYP4F8,10.723580857604263
BPIL1,10.620244302623167
KRT16,10.60180618191515
CST1,10.53871049881287
FAM5C,10.536145191090533
ELF5,10.511639736511194
KRT17,10.476745352173022
MSLN,10.431883975689308
A2ML1,10.378128096020314
KRT81,10.349112306618256
SLC5A8,10.311161642586498
NLRP2,10.259347142021696
SERPINA11,10.228571255474568
VGLL1,10.220274030877725
AQP5,10.19977398174558
CBLN2,10.160089818037925
PTPRT,10.05721788693435
FABP4,10.045039320670355
CA9,10.034873081861837
BEX1,10.003739639433821
KLK6,9.988009575758987
TNNT1,9.86132374329576
KLK10,9.841191247672203
LBP,9.803891049918487
PPP1R1B,9.77124585687512
KLHDC7A,9.7320671850249
EEF1A2,9.700231244383746
NXPH1,9.694697672437991
SLITRK6,9.65856163301316
SLC6A4,9.643615990184495
CYP4Z2P,9.625523691597587
KLK7,9.621783775533636
ESR1,9.616767765359947
PPP2R2C,9.584086278757468
C10orf82,9.534124593647826
SCGB2A1,9.501527660312117
CIDEC,9.479587962443135
CALML3,9.455210615981581
LRRC31,9.42162973755469
RPS28,9.42111227579126
SLC6A14,9.403649218286755
DCD,9.392046387171844
SYT9,9.366130977853656
ORM1,9.300459248463703
ANKRD30B,9.241753880774374
GRPR,9.229404792250987
PDZK1,9.223165209469501
CST5,9.221734843807015
CHAD,9.149194282078888
CXCL17,9.140977361649181
ASCL1,9.118160606988884
MUC2,9.11189389176757
CDC20B,9.060877801146548
MAGEA6,9.053485250620387
CARTPT,9.038045848205542
LEP,9.028171766308267
CLIC6,9.026640340787024
SORCS1,9.018157494990279
PEG10,9.01724870368485
MUC15,9.008157897287942
CNTNAP2,8.995239673886914
C7,8.962532542000794
DIO1,8.906365724081871
NBPF4,8.834058371529014
CXCL13,8.810078544094512
FOXI1,8.78325294259812
DSC3,8.7741397992609
ABCC8,8.734001449246739
PYDC1,8.7124037854117
MIA,8.712219728490878
SCGB3A1,8.711696383059923
IGSF1,8.681249522508914
FOLR1,8.680571009662037
WNK4,8.676699784107525
SDR16C5,8.64987660046716
SPAG6,8.644108728743504
COL17A1,8.642254532255226
WIF1,8.622453481125719
ALB,8.622393519611228
SERPINB5,8.597478056873612
SFRP1,8.585653419362805
ABCA12,8.572925787355826
MMP1,8.5414224443896
LCN2,8.541180470215444
PGLYRP2,8.49535301767704
CAPN8,8.489343021876897
SCUBE2,8.48110014048404
PPAN-P2RY11,8.473728465612401
S100P,8.447346783417913
C2orf54,8.444131532999995
LRP1B,8.439431424779864
CASP14,8.399663579117721
S100A8,8.362325971219931
PI16,8.340613822911351
